id,number_of_reviews,review_scores_rating,review_scores_location
2139339.00,8.00,4.13,4.13
2142960.00,65.00,4.47,4.75
2144637.00,2.00,4.50,5.00
2284274.00,118.00,4.99,4.85
2148940.00,206.00,4.83,4.92
2762722.00,44.00,4.61,4.70
2777545.00,9.00,4.56,4.33
2285330.00,29.00,4.57,4.61
2777809.00,105.00,4.84,4.82
2150021.00,110.00,4.48,4.87
2286499.00,55.00,4.59,4.77
2151971.00,169.00,4.84,4.91
2778066.00,99.00,4.57,4.91
2785077.00,14.00,5.00,5.00
2785132.00,10.00,5.00,5.00
2296781.00,158.00,4.85,4.83
2795809.00,117.00,4.98,4.92
2159366.00,182.00,4.98,4.89
2160805.00,106.00,4.47,4.64
2804410.00,203.00,4.83,4.84
2811522.00,191.00,4.75,4.81
2163531.00,30.00,4.59,4.75
2303459.00,212.00,4.66,4.93
2170921.00,141.00,4.95,4.82
2811961.00,2.00,5.00,5.00
2310670.00,24.00,4.87,4.96
2817401.00,89.00,4.29,4.70
2177789.00,123.00,4.75,4.94
2311176.00,51.00,4.90,4.86
2191014.00,85.00,4.75,4.87
2817747.00,161.00,4.77,4.44
2315252.00,186.00,4.60,4.86
2823307.00,348.00,4.84,4.85
2319176.00,366.00,4.87,4.93
2832261.00,166.00,4.55,4.91
2836136.00,62.00,4.92,4.88
2194493.00,95.00,4.67,4.88
2194501.00,150.00,4.57,4.89
2320322.00,138.00,4.74,4.82
2199072.00,219.00,4.86,4.90
2858558.00,94.00,4.85,4.89
2343812.00,137.00,4.90,4.99
2206853.00,83.00,4.51,4.77
2351577.00,106.00,4.56,4.36
2210287.00,10.00,4.89,5.00
2217726.00,63.00,4.95,4.86
2226994.00,302.00,4.77,4.84
2867317.00,127.00,4.90,4.69
2373561.00,27.00,5.00,4.93
2874566.00,181.00,4.80,4.88
2875261.00,179.00,4.55,4.73
2227842.00,61.00,4.64,4.80
2228088.00,82.00,4.52,4.91
2228180.00,85.00,4.61,4.92
2228243.00,34.00,4.58,4.94
2228723.00,137.00,4.64,4.85
2387051.00,108.00,4.92,4.89
2228762.00,110.00,4.64,4.83
2228778.00,64.00,4.72,4.89
2875813.00,32.00,4.94,4.76
2881549.00,7.00,5.00,4.86
2881807.00,32.00,4.78,4.97
2391884.00,107.00,4.65,4.44
2894122.00,74.00,4.89,4.66
2232043.00,21.00,4.90,5.00
2236449.00,88.00,4.93,4.87
2393641.00,62.00,4.68,4.56
2897688.00,17.00,4.41,4.76
2898000.00,51.00,4.73,4.82
2236758.00,33.00,4.94,4.87
2405563.00,124.00,4.38,4.56
2237000.00,110.00,4.95,4.97
2898404.00,90.00,4.60,4.79
2405797.00,54.00,4.74,4.92
3073414.00,74.00,4.81,4.93
2407312.00,138.00,4.69,4.96
3075567.00,26.00,4.96,4.85
2900218.00,1.00,4.00,4.00
2904989.00,121.00,4.79,4.90
2431014.00,36.00,4.91,4.83
2908135.00,4.00,4.50,5.00
2453014.00,187.00,4.79,4.70
2918627.00,40.00,4.93,4.78
2926021.00,28.00,4.72,5.00
3083742.00,69.00,4.83,4.96
3093150.00,36.00,4.71,4.97
2453603.00,50.00,4.34,4.86
3093329.00,48.00,4.49,4.26
2454425.00,14.00,4.67,5.00
3113400.00,79.00,4.88,4.96
2941583.00,17.00,4.71,4.94
2941675.00,17.00,4.71,5.00
2942033.00,4.00,4.33,5.00
2455234.00,4.00,4.25,4.75
2943440.00,59.00,4.90,4.93
2943911.00,58.00,4.76,4.84
2949105.00,21.00,4.86,4.86
3114944.00,75.00,4.76,4.78
2461010.00,38.00,4.86,4.94
3124666.00,57.00,4.98,4.98
2959153.00,101.00,4.85,4.91
2461188.00,54.00,4.72,4.81
2960135.00,89.00,4.61,4.97
3125163.00,106.00,4.90,4.97
2461634.00,68.00,4.72,4.64
3125190.00,31.00,4.93,4.90
2960499.00,178.00,4.88,4.77
2961038.00,43.00,4.50,4.85
2969132.00,23.00,4.48,4.78
2969133.00,29.00,4.72,4.79
2980190.00,81.00,4.79,4.86
