id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,geometry
49712580,Primary Urban Center,Honolulu,21.28542,-157.83843,POINT (-157.83843 21.28542)
49646836,Koloa-Poipu,Kauai,21.87584,-159.44599,POINT (-159.44599 21.87584)
49650470,North Shore Kauai,Kauai,22.21991,-159.47052,POINT (-159.47052 22.21991)
49651713,Primary Urban Center,Honolulu,21.274725,-157.820938,POINT (-157.820938 21.274725)
49653282,Lihue,Kauai,21.95073,-159.3618,POINT (-159.3618 21.95073)
49712581,Kau,Hawaii,19.42754,-155.25897,POINT (-155.25897 19.42754)
49712582,Primary Urban Center,Honolulu,21.28189,-157.82878,POINT (-157.82878 21.28189)
49712584,Primary Urban Center,Honolulu,21.28553,-157.83787,POINT (-157.83787 21.28553)
49712585,Primary Urban Center,Honolulu,21.28567,-157.83847,POINT (-157.83847 21.28567)
49712586,Kau,Hawaii,19.42802,-155.25743,POINT (-155.25743 19.42802)
49712589,Kau,Hawaii,19.42964,-155.25914,POINT (-155.25914 19.42964)
49712590,Primary Urban Center,Honolulu,21.28496,-157.83807,POINT (-157.83807 21.28496)
49712592,Primary Urban Center,Honolulu,21.28581,-157.83852,POINT (-157.83852 21.28581)
49730117,North Shore Kauai,Kauai,22.22248,-159.46862,POINT (-159.46862 22.22248)
49730741,Kihei-Makena,Maui,20.72234,-156.44601,POINT (-156.44601 20.72234)
49731042,Kihei-Makena,Maui,20.72197,-156.44732,POINT (-156.44732 20.72197)
49731245,Kihei-Makena,Maui,20.72387,-156.44799,POINT (-156.44799 20.72387)
49655025,Kihei-Makena,Maui,20.69724,-156.4423,POINT (-156.4423 20.69724)
49731285,North Kona,Hawaii,19.63054,-155.98902,POINT (-155.98902 19.63054)
49731472,Lahaina,Maui,20.91648,-156.69589,POINT (-156.69589 20.91648)
49731680,Lahaina,Maui,20.91616,-156.69657,POINT (-156.69657 20.91616)
49712597,Kau,Hawaii,19.42759,-155.25888,POINT (-155.25888 19.42759)
49712600,Kau,Hawaii,19.42751,-155.25948,POINT (-155.25948 19.42751)
49656026,Primary Urban Center,Honolulu,21.28571,-157.83743,POINT (-157.83743 21.28571)
49712605,Primary Urban Center,Honolulu,21.28357,-157.83799,POINT (-157.83799 21.28357)
49712607,Primary Urban Center,Honolulu,21.28357,-157.83998,POINT (-157.83998 21.28357)
49712608,Primary Urban Center,Honolulu,21.2819,-157.82874,POINT (-157.82874 21.2819)
49732163,Koloa-Poipu,Kauai,21.88927,-159.47314,POINT (-159.47314 21.88927)
49656632,Primary Urban Center,Honolulu,21.2852,-157.83731,POINT (-157.83731 21.2852)
49732237,North Kona,Hawaii,19.658615,-155.942413,POINT (-155.942413 19.658615)
49712610,Kau,Hawaii,19.42835,-155.25719,POINT (-155.25719 19.42835)
49712616,Primary Urban Center,Honolulu,21.28424,-157.83814,POINT (-157.83814 21.28424)
49712617,Primary Urban Center,Honolulu,21.28381,-157.82711,POINT (-157.82711 21.28381)
49659015,North Kona,Hawaii,19.55564,-155.96475,POINT (-155.96475 19.55564)
49660019,Kihei-Makena,Maui,20.71133,-156.44435,POINT (-156.44435 20.71133)
49660056,Primary Urban Center,Honolulu,21.279079,-157.823608,POINT (-157.823608 21.279079)
49670245,Kihei-Makena,Maui,20.76011,-156.45882,POINT (-156.45882 20.76011)
49712635,Kau,Hawaii,19.42745,-155.25799,POINT (-155.25799 19.42745)
49712637,Primary Urban Center,Honolulu,21.28561,-157.83978,POINT (-157.83978 21.28561)
49733564,Koloa-Poipu,Kauai,21.88446,-159.46511,POINT (-159.46511 21.88446)
49733644,North Kona,Hawaii,19.6182,-155.98484,POINT (-155.98484 19.6182)
49733704,Ewa,Honolulu,21.33631,-158.03587,POINT (-158.03587 21.33631)
49734251,Koloa-Poipu,Kauai,21.88454,-159.46571,POINT (-159.46571 21.88454)
49734652,North Shore Kauai,Kauai,22.22456,-159.47744,POINT (-159.47744 22.22456)
49712641,Kau,Hawaii,19.42932,-155.2575,POINT (-155.2575 19.42932)
49712643,Kau,Hawaii,19.42944,-155.25773,POINT (-155.25773 19.42944)
49670932,Kihei-Makena,Maui,20.78689,-156.46711,POINT (-156.46711 20.78689)
49793390,South Kohala,Hawaii,19.94671,-155.85778,POINT (-155.85778 19.94671)
49734918,Koloa-Poipu,Kauai,21.88471,-159.46563,POINT (-159.46563 21.88471)
49735405,Koloa-Poipu,Kauai,21.87531,-159.45359,POINT (-159.45359 21.87531)
49737860,Koloa-Poipu,Kauai,21.87609,-159.44939,POINT (-159.44939 21.87609)
49737879,Lahaina,Maui,20.99944,-156.66443,POINT (-156.66443 20.99944)
49671183,Waianae,Honolulu,21.44848,-158.17926,POINT (-158.17926 21.44848)
49794222,Lahaina,Maui,20.92383,-156.695,POINT (-156.695 20.92383)
49671492,Koloa-Poipu,Kauai,21.87582,-159.44565,POINT (-159.44565 21.87582)
49672006,Primary Urban Center,Honolulu,21.34567,-157.90942,POINT (-157.90942 21.34567)
49795334,North Shore Kauai,Kauai,22.22376,-159.49115,POINT (-159.49115 22.22376)
49796059,Primary Urban Center,Honolulu,21.28558,-157.83276,POINT (-157.83276 21.28558)
49737883,East Honolulu,Honolulu,21.27863,-157.76233,POINT (-157.76233 21.27863)
49737895,Koloa-Poipu,Kauai,21.87848,-159.45952,POINT (-159.45952 21.87848)
49673135,Primary Urban Center,Honolulu,21.27792,-157.79006,POINT (-157.79006 21.27792)
49796814,Primary Urban Center,Honolulu,21.28547,-157.83118,POINT (-157.83118 21.28547)
49797493,North Kona,Hawaii,19.62167,-155.98508,POINT (-155.98508 19.62167)
49673551,Kapaa-Wailua,Kauai,22.07082,-159.3214,POINT (-159.3214 22.07082)
49887753,Lahaina,Maui,20.92732,-156.68976,POINT (-156.68976 20.92732)
49893855,North Kona,Hawaii,19.61552,-155.97248,POINT (-155.97248 19.61552)
49899634,Puna,Hawaii,19.426191,-155.232437,POINT (-155.232437 19.426191)
49797690,North Kona,Hawaii,19.55541,-155.96453,POINT (-155.96453 19.55541)
49797735,Primary Urban Center,Honolulu,21.27919,-157.8323,POINT (-157.8323 21.27919)
49798027,Koolauloa,Honolulu,21.58966,-157.89094,POINT (-157.89094 21.58966)
49800322,Koloa-Poipu,Kauai,21.88397,-159.45857,POINT (-159.45857 21.88397)
49800331,Primary Urban Center,Honolulu,21.28021,-157.82612,POINT (-157.82612 21.28021)
