id,date
320173510,2018-09-08
327613019,2018-09-24
330818922,2018-10-01
334115781,2018-10-08
338700918,2018-10-20
342656866,2018-10-29
347940832,2018-11-12
353508627,2018-11-28
364132623,2018-12-30
366076897,2019-01-02
431984186,2019-04-02
452549767,2019-05-13
455840666,2019-05-20
457397298,2019-05-24
471406772,2019-06-17
474577537,2019-06-23
486731147,2019-07-13
489093562,2019-07-16
864852,2012-01-16
943066,2012-02-23
952758,2012-02-27
975353,2012-03-06
989987,2012-03-12
1002917,2012-03-15
1020955,2012-03-19
1034162,2012-03-23
1039854,2012-03-25
1058620,2012-03-29
1066757,2012-04-01
1108249,2012-04-11
1161902,2012-04-22
1175146,2012-04-24
1195929,2012-04-29
1274721,2012-05-14
1294485,2012-05-17
497997495,2019-07-29
503031131,2019-08-05
519210563,2019-08-28
523206914,2019-09-03
531398377,2019-09-17
415645944,2019-02-23
540841317,2019-10-04
546829261,2019-10-14
553400085,2019-10-24
561003838,2019-11-08
567000584,2019-11-21
605289892,2020-02-14
404086038060079104,2021-07-11
418594598995475946,2021-07-31
475808239424397472,2021-10-18
578749794879209568,2022-03-09
603350911336563107,2022-04-12
615059743687323146,2022-04-28
622998601148811894,2022-05-09
628716575389051673,2022-05-17
639645935078208209,2022-06-01
1354706,2012-05-27
1370016,2012-05-29
426224745,2019-03-20
428554518,2019-03-25
432869559,2019-04-05
435664774,2019-04-11
441764951,2019-04-22
444127572,2019-04-27
450783106,2019-05-10
457074591,2019-05-23
459364950,2019-05-27
470644044,2019-06-16
472725263,2019-06-20
475412932,2019-06-24
480592421,2019-07-03
485757889,2019-07-11
489778508,2019-07-17
1454025,2012-06-11
1488991,2012-06-16
1521539,2012-06-20
28186,2010-03-02
525136907,2019-09-07
531691737,2019-09-18
539934745,2019-10-02
555848695,2019-10-28
558636684,2019-11-03
562612502,2019-11-11
575108577,2019-12-09
580136314,2019-12-22
583925245,2019-12-29
590019179,2020-01-07
604440923,2020-02-11
606385570,2020-02-16
608697540,2020-02-21
615508030,2020-03-08
625392112,2020-05-20
636114409,2020-07-09
708657510,2020-11-14
737011653,2021-03-07
757678302,2021-05-13
769653535,2021-06-13
397607326057529221,2021-07-02
438823810139283016,2021-08-28
449053361589170251,2021-09-11
59572,2010-07-01
1681430,2012-07-11
1695023,2012-07-13
1758923,2012-07-21
1775015,2012-07-23
567870059789862582,2022-02-22
571585658407749069,2022-02-27
586090386211109047,2022-03-19
469271645,2019-06-14
1797084,2012-07-25
1883299,2012-08-04
1937874,2012-08-10
1991395,2012-08-15
2051564,2012-08-21
2169454,2012-09-02
2204439,2012-09-05
2271094,2012-09-12
2370895,2012-09-22
2405172,2012-09-25
2443762,2012-09-29
2466929,2012-10-01
2520114,2012-10-06
2569806,2012-10-10
2589818,2012-10-12
